action,parent_id
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0001069
substrate,BE0000703
inhibitor,BE0000703
inhibitor,BE0003643
inhibitor,BE0003644
substrate,BE0001066
inhibitor,BE0001066
substrate,BE0003651
inhibitor,BE0003651
inhibitor,BE0001069
inhibitor,BE0001067
substrate,BE0001004
inhibitor,BE0001004
inhibitor,BE0003659
substrate,BE0000340
substrate,BE0000238
substrate,BE0000362
substrate,BE0004690
substrate,BE0000936
substrate,BE0003654
inhibitor,BE0003654
substrate,BE0000440
inhibitor,BE0000440
substrate,BE0000669
inhibitor,BE0000669
inhibitor,BE0003655
substrate,BE0000449
substrate,BE0000094
substrate,BE0004708
substrate,BE0003647
inhibitor,BE0003647
substrate,BE0003648
inhibitor,BE0003648
inhibitor,BE0003650
inhibitor,BE0000106
inhibitor,BE0000757
substrate,BE0001059
substrate,BE0002182
substrate,BE0002183
substrate,BE0002184
substrate,BE0000696
substrate,BE0000168
substrate,BE0009869
substrate,BE0001057
substrate,BE0004707
substrate,BE0000893
substrate,BE0009870
substrate,BE0009871
substrate,BE0000285
substrate,BE0000236
substrate,BE0000423
substrate,BE0004769
substrate,BE0009872
substrate,BE0000222
substrate,BE0000789
substrate,BE0002251
inhibitor,BE0000178
substrate,BE0003645
ligand,BE0002261
inhibitor,BE0000022
substrate,BE0000447
substrate,BE0000611
substrate,BE0000785
inhibitor,BE0000785
substrate,BE0001061
substrate,BE0001188
substrate,BE0003639
substrate,BE0000536
substrate,BE0002308
substrate,BE0002310
substrate,BE0000940
substrate,BE0000178
substrate,BE0003530
substrate,BE0000963
substrate,BE0003658
inhibitor,BE0001188
substrate,BE0001067
substrate,BE0001048
substrate,BE0000730
substrate,BE0009879
transporter,BE0000189
transporter,BE0000119
substrate,BE0003546
inhibitor,BE0003645
inhibitor,BE0000879
substrate,BE0001042
substrate,BE0003642
substrate,BE0000879
substrate,BE0003646
substrate,BE0003659
substrate,BE0001018
substrate,BE0001134
substrate,BE0003650
substrate,BE0000106
inhibitor,BE0003642
inhibitor,BE0003639
inhibitor,BE0003657
inhibitor,BE0004752
inducer,BE0001032
inhibitor,BE0001042
other,BE0001054
